#Cell 1
0 0 1 1 1 1
1 0 1.5625 0.8125 1.5625 0.8125
2 0 1.26667 0.8 1.26667 0.8
3 0 0.5 0.5 0.5 0.5
4 0 0.117647 1.41176 0.117647 1.41176
5 0 59.9375 2.5625 -0.0625 2.5625
6 0 0.352941 2.17647 0.352941 2.17647
7 0 0.8 3.86667 0.8 3.86667
8 0 59.8824 3.35294 -0.1176 3.35294
9 0 59.7059 3.23529 -0.2941 3.23529
10 0 0 4 0 4
11 0 58.7647 3.82353 -1.2353 3.82353
12 0 0.25 2.75 0.25 2.75
13 0 0.0625 2.5625 0.0625 2.5625
14 0 59.875 2.9375 -0.125 2.9375
15 0 59.9375 2.5 -0.0625 2.5
16 0 0.1875 2.3125 0.1875 2.3125
17 0 1.29412 2.05882 1.29412 2.05882
18 0 1 1.5 1 1.5
19 0 1.17647 0.941176 1.17647 0.941176
20 0 0.176471 59.3529 0.176471 -0.6471
21 0 1.5625 59.3125 1.5625 -0.6875
22 0 1.4375 59.0625 1.4375 -0.9375
23 0 1.375 59.3125 1.375 -0.6875
24 0 1 0.25 1 0.25
25 0 1 0.625 1 0.625
26 0 1.76471 59.2353 1.76471 -0.7647
27 0 2.25 58.875 2.25 -1.125
28 0 1.66667 59.1333 1.66667 -0.8667
29 0 1.6875 58.875 1.6875 -1.125
30 0 1.125 59.875 1.125 -0.125
31 0 0.777778 0.611111 0.777778 0.611111
32 0 1.29412 2.58824 1.29412 2.58824
33 0 0.6875 2.5 0.6875 2.5
34 0 0.0588235 1.82353 0.0588235 1.82353
35 0 59.4118 2.11765 -0.5882 2.11765
36 0 59.125 2.0625 -0.875 2.0625
37 0 59.2941 2.11765 -0.7059 2.11765
38 0 59.5 2.25 -0.5 2.25
39 0 57.0625 2.625 -2.9375 2.625
40 0 58.4375 2.625 -1.5625 2.625
41 0 59.6 3.33333 -0.4 3.33333
42 0 59.6875 3.3125 -0.3125 3.3125
43 0 59.75 3.5625 -0.25 3.5625
